"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2019","156.30","153.70","158.70","153.70","54.59K","2.42%"
"Aug 14, 2019","152.60","153.20","157.80","152.40","56.92K","0.13%"
"Aug 13, 2019","152.40","150.70","154.70","149.30","66.39K","1.53%"
"Aug 12, 2019","150.10","151.10","154.20","149.80","40.05K","-0.86%"
"Aug 09, 2019","151.40","149.90","153.10","146.90","63.59K","0.73%"
"Aug 08, 2019","150.30","149.30","152.60","148.30","61.60K","0.87%"
"Aug 07, 2019","149.00","150.20","152.90","148.30","63.40K","-1.39%"
"Aug 06, 2019","151.10","148.20","152.20","147.40","73.89K","2.86%"
"Aug 05, 2019","146.90","148.10","150.30","144.60","63.97K","-1.01%"
"Aug 02, 2019","148.40","152.00","154.30","145.50","76.61K","-3.20%"
"Aug 01, 2019","153.30","154.80","161.50","152.30","96.24K","-1.16%"
"Jul 31, 2019","155.10","148.00","156.80","147.10","63.99K","5.08%"
"Jul 30, 2019","147.60","146.10","148.20","145.80","38.32K","1.10%"
"Jul 29, 2019","146.00","150.00","150.20","145.50","44.57K","-3.18%"
"Jul 26, 2019","150.80","154.40","154.40","149.80","22.33K","-2.46%"
"Jul 25, 2019","154.60","154.20","156.30","153.30","28.26K","0.65%"
"Jul 24, 2019","153.60","158.60","158.80","153.10","38.61K","-3.88%"
"Jul 23, 2019","159.80","159.50","160.70","158.30","29.28K","0.38%"
"Jul 22, 2019","159.20","157.30","160.20","156.40","34.49K","2.31%"
"Jul 19, 2019","155.60","158.20","158.60","154.60","35.12K","-1.39%"
"Jul 18, 2019","157.80","159.80","162.70","156.20","49.31K","-0.75%"
"Jul 17, 2019","159.00","159.90","161.90","157.80","40.49K","-0.19%"
"Jul 16, 2019","159.30","165.80","165.80","158.10","45.83K","-3.22%"
"Jul 15, 2019","164.60","167.00","167.90","163.70","48.03K","-2.60%"
"Jul 12, 2019","169.00","165.90","170.50","165.00","47.13K","2.42%"
"Jul 11, 2019","165.00","167.70","170.60","164.40","49.25K","-1.32%"
"Jul 10, 2019","167.20","166.70","170.60","166.20","39.58K","0.42%"
"Jul 09, 2019","166.50","164.50","167.60","162.40","42.18K","1.71%"
"Jul 08, 2019","163.70","168.00","168.80","162.30","45.63K","-2.09%"
"Jul 05, 2019","167.20","156.50","168.30","156.50","69.20K","7.18%"
"Jul 04, 2019","156.00","157.50","158.30","155.30","25.80K","-1.08%"
"Jul 03, 2019","157.70","155.50","158.20","154.40","33.93K","1.35%"
"Jul 02, 2019","155.60","156.60","159.20","155.20","43.97K","-0.45%"
"Jul 01, 2019","156.30","161.50","161.50","153.70","46.11K","-2.62%"
"Jun 28, 2019","160.50","161.40","164.10","159.60","38.80K","-0.56%"
"Jun 27, 2019","161.40","158.50","162.60","157.60","39.33K","1.19%"
"Jun 26, 2019","159.50","159.60","160.70","157.50","31.47K","-0.19%"
"Jun 25, 2019","159.80","159.10","160.50","156.40","26.06K","0.06%"
"Jun 24, 2019","159.70","153.70","160.60","153.10","39.91K","4.58%"
"Jun 21, 2019","152.70","152.90","154.80","151.30","37.69K","0.73%"
"Jun 20, 2019","151.60","161.60","161.60","150.70","56.96K","-5.84%"
"Jun 19, 2019","161.00","163.90","165.00","159.70","34.48K","-1.11%"
"Jun 18, 2019","162.80","166.00","167.90","162.30","38.91K","-2.40%"
"Jun 17, 2019","166.80","167.40","168.50","165.20","32.34K","-0.12%"
"Jun 14, 2019","167.00","163.10","167.90","162.20","38.61K","2.33%"
"Jun 13, 2019","163.20","165.00","165.80","162.20","40.09K","-1.86%"
"Jun 12, 2019","166.30","166.80","167.40","164.80","32.31K","0.06%"
"Jun 11, 2019","166.20","164.70","166.70","162.70","35.17K","1.28%"
"Jun 10, 2019","164.10","162.80","164.90","162.10","33.38K","0.74%"
"Jun 07, 2019","162.90","162.30","164.00","160.50","34.59K","1.37%"
"Jun 06, 2019","160.70","166.10","166.30","160.30","48.20K","-3.54%"
"Jun 05, 2019","166.60","168.70","168.80","166.10","22.12K","-1.42%"
"Jun 04, 2019","169.00","167.30","170.00","165.80","46.34K","1.75%"
"Jun 03, 2019","166.10","172.90","172.90","165.50","49.56K","-3.60%"
"May 31, 2019","172.30","179.20","180.50","171.90","38.50K","-3.47%"
"May 30, 2019","178.50","185.20","185.20","177.80","43.73K","-3.83%"
"May 29, 2019","185.60","181.30","186.00","181.30","36.35K","3.40%"
"May 28, 2019","179.50","179.30","180.60","176.70","27.18K","0.73%"
"May 27, 2019","178.20","180.80","181.60","177.10","22.53K","-1.16%"
"May 24, 2019","180.30","180.50","180.90","176.90","30.48K","0.11%"
"May 23, 2019","180.10","177.50","182.80","176.90","26.69K","1.01%"
"May 22, 2019","178.30","182.90","183.30","178.00","24.26K","-2.19%"
"May 21, 2019","182.30","186.40","186.40","182.10","29.39K","-2.57%"
"May 20, 2019","187.10","186.10","188.50","184.00","31.88K","0.54%"
"May 17, 2019","186.10","185.90","187.20","184.10","23.02K","0.27%"
"May 16, 2019","185.60","184.10","186.10","181.50","30.14K","0.81%"
